Section,Question,Answer,processed_question
Digital Banking,what is the rbi retail direct platform?,"RBI Retail Direct is a platform where you can directly buy government bonds, treasury bills, and sovereign gold bonds online without a broker.",rbi retail direct platform
Digital Banking,what is sovereign gold bond?,Sovereign Gold Bonds are RBI-issued bonds that give you returns linked to gold prices plus 2.5% annual interest. No storage risk and capital gains are tax-free on maturity.,sovereign gold bond
Digital Banking,what is a demat account?,"A Demat account holds your shares and securities in electronic form, like a bank account holds money. It's needed for trading in the stock market.",demat account
Digital Banking,what is an online fixed deposit?,You can open an FD through net banking or your mobile app without visiting a branch. The rate is the same as at the branch.,online fixed deposit
Digital Banking,what is 3d secure for credit cards?,3D Secure is an extra authentication step — usually an OTP — required for online credit card transactions to prevent unauthorised use.,3d secure credit cards
Digital Banking,what is card-not-present fraud?,"Card-not-present fraud happens when someone uses your card details (number, CVV, expiry) for online purchases without having your physical card.",cardnotpresent fraud
Digital Banking,what is a mobile pos terminal?,A mobile POS is a card-swiping device connected to a smartphone. Small merchants use it to accept debit/credit card payments on the go.,mobile pos terminal
Digital Banking,what is a qr code merchant?,"A merchant who displays a QR code on their counter for customers to scan and pay using any UPI app, without needing a card machine.",qr code merchant
Digital Banking,what is cardless cash withdrawal?,You can withdraw cash at certain ATMs using just your mobile banking app and a one-time code — no card needed.,cardless cash withdrawal
Digital Banking,what is a upi transaction id?,Every UPI payment generates a unique transaction ID (UTR number). Use it to track your payment or raise a dispute if something goes wrong.,upi transaction id
Digital Banking,what is a neft utr number?,A UTR (Unique Transaction Reference) number is generated for every NEFT and RTGS transfer. It's used to track or dispute a transaction.,neft utr number
Digital Banking,what is a digital savings account?,A digital savings account is opened and operated entirely online. It works like a regular savings account but with no physical branch visits required.,digital savings account
Digital Banking,what is real-time balance update?,"After any transaction, your account balance is updated instantly in your mobile app or net banking, so you always know exactly how much you have.",realtime balance update
Digital Banking,what is an sms transaction alert?,"Banks send you an SMS every time a transaction happens on your account — credit, debit, ATM withdrawal — so you can immediately detect fraud.",sms transaction alert
Digital Banking,what is a bank's 24x7 helpline?,"Most banks have a toll-free 24-hour helpline where you can block cards, report fraud, get balance info, or raise complaints anytime.",banks 24x7 helpline
Digital Banking,what is a payment failure and auto-refund?,"If an online payment fails but money is deducted, the bank must auto-refund within 5 business days. If not done, they owe you compensation.",payment failure autorefund
Digital Banking,what is bbps bill payment?,"Through BBPS, you can pay any recurring bill — electricity, broadband, water, insurance, school fees — through any bank app or payment platform.",bbps bill payment
Digital Banking,what is a bank token?,A bank token (hardware or software) generates a one-time code for added security when logging into net banking or authorizing large transactions.,bank token
Digital Banking,what is a push notification in banking?,"Push notifications are alerts from your bank app for every transaction, low balance, new offers, or due payments — keeping you instantly informed.",push notification banking
Digital Banking,what is a one-time password for banking?,An OTP is a temporary 4–6 digit code sent to your phone to confirm a transaction or login attempt. It expires in 60–300 seconds and can't be reused.,onetime password banking
Loans & Interest,what is a loan?,A loan is money you borrow from a bank and agree to pay back over time with interest.,loan
Loans & Interest,what is a home loan?,A home loan is money borrowed from a bank to buy or build a house. You repay it in monthly instalments over 10–30 years.,home loan
Loans & Interest,what is a personal loan?,"A personal loan is an unsecured loan you can use for any purpose — medical bills, travel, wedding, or home repair. No collateral is needed.",personal loan
